# Golden vector: Zeta.Core.Cl3.gp — 200 random Cl(3,0) geometric products.
#
# GENERATED BY THE F# MODULE (src/Core/Cl3.fs), consumed by the TypeScript
# geometricProduct in ../conformal-embedding-and-curvature-budget.ts. Agreement is
# therefore evidence, not self-consistency.
#
#   dotnet build src/Core/Core.fsproj -c Release
#   dotnet fsi src/Core.TypeScript/research/testdata/dump-cl3-products.fsx
#
# Cl3.fs is NOT self-contained under dotnet fsi (AlgebraInterfaces -> IGroup -> ...),
# so the generator takes a project reference to the built DLL rather than #load.
#
# Inputs are a deterministic LCG seeded from COMMON_SEED=4 — no ambient entropy.
# Format: a|b|a*b, each an 8-tuple in Mv MASK order [S,E1,E2,E12,E3,E13,E23,E123].
-2.7432785625569522,4.936745767481625,-4.894772723782808,-1.5044734999537468,-2.8974376409314573,1.7953296331688762,0.002141257282346487,0.05456536076962948|-2.541760194581002,-3.8542733481153846,1.9575098413042724,2.11682403460145,3.165136280003935,-2.5130402157083154,0.667814256157726,2.4984145630151033|-23.24847778057791,3.800968799192079,18.01299395566637,-19.45571215306194,-6.434505637686571,17.901746118286322,0.48501908336354216,-30.414328382453213
-1.3827915559522808,-2.6505835680291057,4.533416039776057,1.820434033870697,-1.1068107350729406,0.5173826171085238,-4.522717373911291,-0.9374465513974428|-0.8397254603914917,2.843374037183821,-2.730427694041282,4.255278464406729,-2.8069562069140375,3.623013994656503,-4.048171436879784,-4.970367988571525|-48.23595848848543,-49.68433582302373,-14.239812526957854,-19.224585367676944,-23.927036091640883,36.991925111672636,-0.23653510603324124,-19.301200271125595
1.3513655518181622,-2.0007917983457446,-1.5454662148840725,1.2430087849497795,3.8610369921661913,2.364366459660232,3.0017723492346704,-0.6000483874231577|-3.2590920361690223,3.2294212142005563,2.396753083448857,-3.9134003035724163,-4.779760611709207,-2.47160701546818,-1.2180588976480067,-2.8624412696808577|-20.377649702124447,13.91941359940235,-2.8381526267781165,-21.867124901021214,-25.83527106348204,-6.703900958169529,-15.6872321318921,-20.319177557076426
0.9900460322387516,-0.17274733167141676,-4.032450981903821,-3.2460571080446243,-4.8678263439796865,-0.5941692786291242,2.9221375263296068,-1.7086612898856401|-1.930139462929219,-2.3184767877683043,-0.48092463286593556,-4.06355919316411,1.3835333683528006,3.9435447519645095,3.1326086609624326,3.9911095146089792|-19.487782463143006,-4.722532458284501,10.665409014827933,-15.430971296999491,3.4919010958519436,10.504044699622835,8.02865725979949,30.83935134204543
3.8355875317938626,4.866478298790753,2.177289619576186,-2.0173996314406395,1.447901746723801,0.7718718377873302,0.18451463198289275,-0.6812845263630152|-1.0241629066877067,-0.8933680644258857,1.5099217253737152,2.706626746803522,-2.3775295889936388,3.106964170001447,-2.734602598939091,3.054121034219861|-2.7832458675141485,-26.110183258265856,18.692407885654003,30.46665638046295,6.980170314834853,0.24617787850332262,5.788039433615543,-0.2754987647596673
1.33681207196787,1.1166104348376393,-2.430557154584676,-3.927982896566391,1.5397581295110285,-0.47186688054353,3.7096495158039033,4.296504510566592|-2.3784731584601104,-0.1840038364753127,1.3110341015271842,-2.2498456574976444,-1.9456704310141504,-2.369807013310492,3.1039828597567976,-4.039648165926337|-13.681348065995937,-7.303474928716822,-15.97419245235858,-14.554486048616312,-27.6053273135629,-23.232610829645445,-15.511692644719957,-13.798996965735192
4.464026049245149,-0.5808287067338824,-2.614444673527032,-4.446099139750004,-1.4954859553836286,-0.4491952480748296,-4.2321025975979865,-4.853449696674943|-1.1213966342620552,-1.5998384496197104,1.3075138139538467,-3.253807704895735,3.3491242700256407,-0.6271801749244332,-4.390850050840527,0.3884823340922594|-43.94922895549178,-42.91964002561599,-14.325339345571631,-30.635206591104847,19.221461410297003,6.479498636844974,-15.443551490669426,5.420935940996771
-1.9159797648899257,0.3324799658730626,0.9980330686084926,-3.776368722319603,4.1791751072742045,2.4016237957403064,1.3542228913865983,-4.226880790665746|-1.297275375109166,-3.396029374562204,2.7028215560130775,1.575081180781126,-4.89539768313989,-3.6825198167935014,2.153792956378311,1.937114829197526|3.658575054030294,4.410104014276833,-14.186995476556813,24.79740157147028,23.351836851237728,15.729718326261928,-17.189894080942274,20.142550583009854
-4.664930223952979,1.0066524194553494,1.2851414526812732,-4.9847401306033134,3.515981307718903,4.202874186448753,-2.4368000426329672,3.937899461016059|-1.4914670470170677,-3.798437207005918,4.893777396064252,2.193333450704813,0.22124588722363114,-0.5551435658708215,1.8979155435226858,-4.0002265106886625|43.84470262889025,-25.33470639282955,-67.68289001876704,-12.806713855630312,-5.083519138840073,-8.347037616139087,-34.674977599851935,10.70847697162068
2.0019341935403645,2.058601495809853,4.006005234550685,-2.1234899759292603,-1.0425929888151586,2.512386734597385,2.964011949952692,3.135001165792346|-0.45534494100138545,-4.128625667653978,4.845560777466744,-1.4913665689527988,-4.7227284661494195,-0.39132217410951853,-4.836369252298027,-0.3600956406444311|28.20466703442412,-9.561647208308841,-25.132928345754436,21.05629768485551,-29.238768354196633,-15.011979595367663,-43.161466092552914,-23.364576545371982
0.8908573840744793,4.4470369117334485,-2.824391454923898,1.6437770053744316,4.811160957906395,3.1985391257330775,-3.0245484062470496,4.4659563060849905|-2.7312979730777442,-1.9288616022095084,-3.53328948142007,2.2548373229801655,0.9036301844753325,4.4107204815372825,2.810160981025547,3.4658753592520952|-21.477304602588248,-33.70165827704725,32.29517364367271,-25.259825610756952,-20.942263371040912,45.499347720665796,31.972023139527824,45.3132858451055
-3.7954323808662593,-3.6525347409769893,0.4397948901169002,-4.082872048020363,1.6251862631179392,-2.6847440795972943,-0.7590790116228163,-1.4852812606841326|-4.277730684261769,-4.087114981375635,-0.01587518723681569,-1.133026797324419,-3.8409928581677377,-4.9241926008835435,-4.391161969397217,3.5059762839227915|8.942777974294577,46.15405966974403,-6.416583574522097,26.97275495445073,25.327374303771034,66.34874118259006,-5.5481012167444,28.152168875345723
-2.0827224547974765,0.027190004475414753,4.450267150532454,4.935301877558231,0.5626604170538485,-2.0229914458468556,-0.9965683915652335,-2.7773358020931482|1.9059367594309151,0.037941099144518375,1.318061228375882,-0.6437589786946774,2.904822083655745,3.3268084516748786,3.6181030585430562,3.0834188032895327|25.608273841202298,14.715962360406575,-14.875993883121481,8.285385339308343,-4.400806674775097,-3.5733360596013637,-12.38730949070125,-9.819570229934456
-3.8503158162347972,-1.2796885101124644,0.23958758218213916,-0.5492903292179108,-2.223004715051502,-2.7661846624687314,4.480604303535074,-4.2364097107201815|0.15426856698468328,-4.508069581352174,1.4571367087773979,2.1850126050412655,0.18022906268015504,-1.7403596127405763,-4.441493398044258,4.691336462274194|41.28445195113157,-28.367199690129226,-25.51600248957127,-40.55857134988127,-7.039378600588991,-6.2793635647321615,27.169240425970123,-33.7404333707744
-4.4560310686938465,3.502726932056248,-1.40382218407467,-1.3955659046769142,-1.2131628929637372,2.9462414560839534,2.239669298287481,4.418716495856643|-3.4891866776160896,-1.4002263685688376,-4.166672427672893,-4.8581683449447155,-1.422883493360132,3.218266828916967,-1.8122914270497859,1.8677846807986498|-2.237192489857687,-3.4504488859046685,18.832234369049804,13.951210188681653,61.92106817345877,3.139885951905878,-12.263271504379098,-8.551264632816695
-0.3612024406902492,0.1671304227784276,-0.5606811423785985,1.801229789853096,2.8510664985515177,-4.339601029641926,-3.4275338076986372,0.45168417505919933|3.1031039846129715,3.8406882667914033,3.696969512384385,-2.7835862524807453,4.615107218269259,2.669698274694383,-4.324521741364151,1.0707407537847757|11.899426346081324,-17.786148777465932,-17.388054537396897,-13.41373705704617,38.718227876356636,-43.00907945754271,-13.017230347155941,5.044922039187663
-4.7556797857396305,-3.901987071149051,1.194151088129729,0.5845232680439949,-2.656201550271362,-4.517053184099495,-1.129556039813906,-0.016443440690636635|2.5176578876562417,0.7231887290254235,-2.508242402691394,0.47464633360505104,-4.883441624697298,-0.9210079023614526,-1.0213056788779795,3.5531038511544466|-10.35174322433429,8.312971028807214,-0.5710101688566231,-4.792524943746268,17.275260014793197,9.638660925841119,-25.962506573699276,-28.11586708955887
-3.1828285823576152,-2.853337707929313,0.16667426330968738,0.5114129185676575,2.1293823258019984,-1.043909196741879,-3.00033904844895,-0.13218124397099018|2.1749767404980958,0.6600862974300981,2.2297462704591453,1.9335887394845486,1.5815615304745734,-0.21574745420366526,-4.783655202481896,-2.7623049821704626|-20.99843219068703,-17.60060192085315,-4.2360224714963985,-21.95165114032782,8.463133503704912,-3.3919617919575904,10.101893072119449,27.463146068268234
0.8354700659401715,4.506163229234517,-0.08125248597934842,3.0276690050959587,3.937401867005974,-4.067416382022202,4.6757848910056055,-0.4346222523599863|-1.2954533728770912,3.843489126302302,4.866349350195378,-4.563527833670378,4.562942611519247,3.87163074221462,-2.9554729000665247,-1.407742826268077|76.57951788926809,-16.769272418224862,8.98553579653408,13.061730634109614,11.555657490566638,28.32230472442135,-29.23222728197074,19.9950765438157
0.17381943063810468,1.5863973321393132,0.6430893461219966,-2.6572663336992264,0.73767518857494,-3.5492751793935895,0.8390928781591356,3.01956239156425|2.319838006515056,-3.88019775506109,3.675340029876679,3.527699690312147,-1.958738078828901,-0.9496753150597215,2.0314480154775083,4.504455113783479|-14.136321130380558,-11.290340224137903,-24.580943434823446,6.596213936374912,-14.367753224109968,-30.996678462032385,-21.28614688438362,29.21739934117584
-1.5216928417794406,0.8890430675819516,-1.4617223595269024,2.304720915853977,-3.884745219256729,-2.3906391533091664,-0.9705286123789847,0.5311234202235937|1.193305712658912,-4.135272442363203,-2.3761491221375763,-0.6721537373960018,3.7998141371645033,-1.472420752979815,2.0324237062595785,4.156875507906079|-18.98650806324152,-10.954413226440337,4.29255618189294,-12.226484747684603,-36.113229529829724,-1.9284213566808799,-12.536171913580814,3.6644890121559044
4.5415052701719105,0.8825757773593068,-4.816250347066671,-1.7245833575725555,3.6454275087453425,0.4428850067779422,-3.2385837309993804,0.6332334410399199|-4.168611045461148,0.8582638436928391,-4.2526261624880135,-1.5913412906229496,-4.2003716877661645,-2.1163138234987855,2.5648797093890607,0.9020269010215998|-7.0764573633507375,7.040113926169481,4.151964398419982,6.688751681189667,-60.082576632667184,-20.833099048798225,57.86654028913856,-5.925503638018613
-3.322529837023467,2.877267678268254,-3.085197985637933,-0.9947213903069496,1.268714612815529,-3.2037625135853887,4.899032746907324,1.9664869364351034|3.449511316139251,-4.84029324259609,-3.4752397728152573,0.6680557318031788,4.55446787411347,1.946984096430242,2.18335093697533,4.137339713051915|-20.817929125611393,-10.098928782276506,8.127697346439207,0.15528583250288897,-7.570044644460068,15.878919152066054,2.1849478548101153,-33.203551765304326
-2.9032573918811977,-2.0998121378943324,4.1975907306186855,3.50843645632267,-4.334128291811794,-3.800094653852284,-2.968964579049498,-4.846099736168981|2.347080756444484,-4.0173511719331145,-2.7467792597599328,2.2051279060542583,1.505830625537783,1.6688585048541427,1.8544816761277616,1.1801662389189005|-6.604452225267285,1.8434737473615117,18.28556411837991,14.143473101743885,-27.139970788492704,-39.549674968136124,-15.180892014370265,-28.484605945351625
-3.718652247916907,3.570202295668423,1.0041311825625598,-2.0623083040118217,-3.367111214902252,2.7449225215241313,-1.1542517342604697,4.675911655649543|-3.717510390561074,0.5699794599786401,3.423325445037335,-2.804862316697836,3.3979487442411482,0.9987417748197913,4.33202558895573,-0.8572193514555693|8.337837217645145,-28.190957509503036,-12.320126159865154,35.47757732310451,21.531381033909973,-27.185598909006373,-2.914339273047063,-7.349706995622867
-2.64020488364622,0.9729738207533956,4.187298126053065,-2.54048228263855,1.4559902087785304,1.957869823090732,-2.493895369116217,0.7453812193125486|-1.151885415893048,3.068884932436049,-1.9059962150640786,-0.23548061028122902,-3.3472112170420587,3.759113154374063,3.531845712568611,-3.192621013149619|-3.5976380539870605,-26.01633221035049,7.5327619865869915,-34.58986134026953,6.909492508131583,-14.675791596943242,-9.422701509866668,-0.4946663336560738
0.4820785974152386,1.5359621541574597,2.855825691949576,-1.8709402158856392,-0.7133652805350721,-2.3241250636056066,1.0246472409926355,1.1825909372419119|-2.154683235567063,1.4058483997359872,1.267544578295201,-4.134120773524046,1.745051669422537,0.5204987665638328,3.9069144590757787,-3.498920826241374|-2.8947752825317483,2.0835110780005,4.060647849587527,14.143531262748517,14.646544887911581,14.361624708450767,12.43380468268504,4.350236973046323
-2.8053235332481563,3.9034238876774907,-2.250692613888532,-1.234864965081215,-4.483484567608684,-1.0783875780180097,-2.3614718043245375,3.2902446668595076|-0.34055839059874415,4.16164989117533,-0.735403981525451,-4.847004730254412,-2.4228272936306894,-4.5235283905640244,-0.17768638441339135,-4.029078995808959|31.691478294715196,-49.603458908173884,-16.565122294320318,41.097150142181306,4.7900701191465025,4.383380091098131,1.0652000510714483,13.410358533631314
4.81555137084797,0.8114124881103635,0.6131960893981159,2.825232483446598,-3.8474401622079313,-3.2216962845996022,-4.815491030458361,-4.271531859412789|3.6348189529962838,-2.5536336889490485,4.09916567383334,2.8558174706995487,-4.145678428467363,3.3186515560373664,4.930234344210476,0.2588661480695009|61.366042537244084,48.91275395168889,55.422999409054356,45.52874306276544,-5.252658498309746,36.11424896916829,12.008975706886613,-9.511017415929755
0.8091503311879933,-4.037221702747047,3.5738040576688945,0.2805130183696747,2.191929800901562,1.2647171271964908,0.4739604122005403,0.38980896584689617|-3.5502369957976043,1.7743714386597276,2.85362048773095,1.6554676555097103,-4.540597682353109,-3.8882946455851197,1.5449771820567548,3.5767981503158808|-7.463910622659694,11.135778326753227,-20.09066696322467,-15.245051971308653,4.518221191110704,-7.440541076093906,-33.47894085883684,8.75577220880632
-2.838595255743712,0.9021685319021344,-1.486697078216821,-0.50919059664011,3.9970215619541705,-1.7898321570828557,-1.3321372517384589,4.274236625060439|-3.5084276529960334,-1.060664071701467,-2.946313221473247,3.559239525347948,-3.1719466275535524,0.1683466276153922,0.01795204123482108,1.1815224308520555|-2.2085038225823435,13.138934712867542,19.00885364661904,-21.57894880006078,-25.32891663260449,26.261555802895273,11.362632147676905,-6.102211235860212
4.754730381537229,1.8910272838547826,-3.5552763123996556,-0.920373722910881,-4.329534263815731,-3.8704820768907666,2.6518055773340166,1.3641424756497145|-1.7684700596146286,-1.1107726907357574,2.0434502395801246,1.775598656386137,-3.676352461334318,2.924335873685777,-1.8873217911459506,1.2497662845999002|14.395519039443244,21.95706343636936,-0.4293493921608298,0.009213084951772643,-8.573439673352432,7.672255222510416,4.921440677153499,11.01738894954939
-2.2569726104848087,-3.2174044800922275,-3.1130432640202343,-0.1908598467707634,-0.5698726861737669,3.098176303319633,2.4109878740273416,4.499339750036597|-3.4000968816690147,-3.3986900141462684,-3.6396440607495606,2.589182499796152,0.6122919940389693,-0.1865195343270898,0.3797843470238149,-3.24682111851871|44.35526419718343,35.27509995680168,0.6143231151081682,-1.085984783887643,7.009098802923926,-14.06641432695979,-9.894359916441747,-8.28307573002328
-2.0733197103254497,1.8969110818579793,-2.7602481772191823,-3.544800579547882,-0.01589433988556266,3.627098794095218,4.405217987950891,-2.7479364443570375|1.3609435898251832,-1.042854762636125,1.1102083208970726,-2.7641996182501316,1.0378282913006842,1.1426346516236663,-2.4679915071465075,-2.6666687335819006|-18.27960080753298,1.9262566882257195,-23.278037500914767,11.30992693021841,-11.350461916440697,21.13487640751905,0.09682300757090445,-11.994331889751649
-0.8724420215003192,-1.1041913134977221,2.1587180788628757,-0.3176756575703621,-1.0942654847167432,-4.462211919017136,0.9439136437140405,-4.198029125109315|1.48788743885234,1.6175912180915475,-0.6578287971206009,3.777433503419161,-2.003167641814798,-1.0333004454150796,-4.180801941547543,1.1767163593322039|3.1631032481065335,-21.853598166505403,-7.249949838680252,-19.043066543099194,16.30585079708388,-9.295035130856922,-25.266147228912136,-5.331464646971581
1.5640137274749577,1.6579199256375432,2.9303240100853145,-2.0812929421663284,-0.9914180054329336,-3.162706275470555,-0.4388980590738356,0.8111405652016401|-0.4620448756031692,-4.102197042666376,-4.576232221443206,-1.0227650590240955,-4.686385502573103,3.9636231726035476,-3.596690169069916,-3.1102510448545218|-4.936062291750915,25.643193308107996,-7.201879384152493,-10.036887533808422,-31.46587046285436,15.686716535716476,-20.691908382581182,-24.722086398031582
-3.774114816915244,3.1536732660606503,-3.153102502692491,-0.7687884196639061,-1.2785494117997587,2.593212160281837,2.390419354196638,-0.7009266410022974|-3.9726485195569694,-4.3577676406130195,4.415880616288632,0.17452964559197426,4.615219386760145,2.309400378726423,4.733409972395748,-4.6262342762202024|-38.98632835866565,30.371050606726698,-3.470983244190319,-1.4931741999141845,-22.67042635177794,-25.582562215570327,-45.57419011229191,16.814399696041765
-0.750505633186549,2.3202940495684743,-3.4183742036111653,3.20037379860878,-3.5366228385828435,1.8086866987869143,-4.459888266865164,-3.4823081362992525|3.8062657159753144,4.099628203548491,1.4477516594342887,-2.8401855565607548,-0.2935739210806787,2.553072921000421,-0.07932598004117608,1.7000252101570368|12.78319539191126,16.4833488060952,-38.5952074514455,15.453343933213722,-23.33520136300125,16.717964154942585,-34.43169190066431,-17.784463627735885
-3.7073523248545825,0.93680449295789,-0.4364444618113339,2.7954014763236046,-4.981367045547813,4.297407525591552,-1.5319656976498663,-2.17365943826735|2.433871414978057,0.7980361441150308,1.0919822263531387,4.049758035689592,0.9447480016387999,2.4917294224724174,4.113386885728687,-3.015292165800929|-35.73966818898373,24.935447781215792,-2.8787545128029617,-15.366386955378669,0.3876175632990133,24.842221663576314,-8.072469202530842,-12.618354227606035
-3.0903641204349697,0.49902368802577257,-2.6474072714336216,-3.750825747847557,-4.088276417460293,-2.4413882987573743,3.356651661451906,0.5667858105152845|2.553326536435634,-1.5802012896165252,-3.260466989595443,1.1622009985148907,-0.38456704234704375,-3.9544946188107133,1.8719428568147123,0.263915890827775|-10.203553547659059,4.288776723807196,1.4457307355257814,-28.97984362968516,-8.761883611969214,-9.040797080145119,-27.95988154073767,-25.476627141337477
-1.0737658734433353,-0.9054323984310031,-4.9854972516186535,-1.06675636023283,3.7823890359140933,3.6520831612870097,4.488037785049528,-4.061784157529473|0.26677341433241963,-0.3234446933493018,-0.025275920052081347,-3.108844216912985,2.3064631246961653,0.1325831701979041,-0.45615440467372537,0.368673549965024|8.60048546457539,-10.951920015719141,14.051703204222454,-4.248994892167498,-10.252932252954404,16.14153419800641,-19.94854013080849,-15.984049828513893
2.8147019376046956,-1.722150924615562,0.49591035349294543,-4.767166972160339,0.7606036798097193,-3.9268472837284207,-2.3811239772476256,0.8722407650202513|1.5103387576527894,4.184242212213576,-0.04976512165740132,-0.4181932844221592,-4.716444944497198,1.5441920375451446,4.638708138372749,-2.200073143467307|10.46777416175256,17.682512022122594,38.9645720285628,-1.6151059827269814,-6.296533414103524,-18.619369398977614,23.60132167997028,-1.6221257115967813
-3.931216790806502,-0.054922173731029034,3.9992996747605503,0.42183768004179,0.8415762544609606,-3.3723019482567906,-0.6445409008301795,-0.09210743941366673|-3.570866349618882,-4.661907418631017,2.762104223947972,-0.5944900028407574,-1.1348403221927583,3.819608106277883,-4.796747101936489,-3.3964562695473433|34.11243125101883,20.047353445427273,-7.269835004584456,-2.0684157968240746,-30.500337347446504,12.443245517838893,15.305016592438689,10.009211976825329
-2.4212937871925533,3.2092604460194707,-2.641985781956464,2.537824735045433,4.260749875102192,2.307143728248775,-3.4713108860887587,-2.9333749134093523|3.7522535515017807,-2.812363556586206,0.8247303101234138,0.23479370400309563,1.797462294343859,4.121154374442995,-0.8036883384920657,-3.7546860333532095|-36.53901847555933,-7.238545917180788,-27.586241595809376,-29.55138521221491,46.553315747840166,7.704602964375036,-33.059225767538635,19.815075978589114
2.006183594930917,1.2752004014328122,3.4112568642012775,4.257033206522465,1.868802031967789,2.163461181335151,-4.430922458413988,-2.2726859245449305|-4.832221705000848,1.3117007026448846,2.245870705228299,1.5183577872812748,-4.370617417152971,0.10920071508735418,3.863825590815395,3.485949235036969|9.814608818101394,15.418196269445959,3.812615193811659,-11.530943455015358,-8.754558222213086,-1.8711194707826753,14.340593989798519,-3.9090348739403176
4.159412377048284,-1.6855019656941295,-4.62091013090685,4.76937398314476,-0.49335540970787406,4.184168721549213,1.8817452318035066,0.5012571346014738|-0.3022279101423919,3.6934091383591294,0.20164235262200236,0.15607407316565514,-0.9124254039488733,-3.182836123742163,-4.886154776904732,4.256083080545068|11.670294120483256,6.607074120489071,-3.5578435601355274,27.832869554599508,-11.913260776394331,-15.174930701620667,-6.065644106200846,12.756985977633297
3.368073955643922,-3.6594494385644794,-3.762565136421472,1.6534298285841942,2.380423790309578,2.167331534437835,-0.7785775908268988,-0.8928262535482645|-1.9267164799384773,1.5951824048534036,2.311521570663899,2.3739862628281116,2.451426761690527,3.5265074810013175,-3.108469529543072,-4.468729076907039|-33.166942768917714,15.8415272116932,-3.633160043877063,-6.481590649507501,10.311625121283038,-23.107778638068574,-9.45226078458967,14.76576285563959
-2.141665897797793,2.0835520746186376,-1.9069271464832127,2.751455381512642,-0.5634797527454793,2.596561680547893,-0.9325513266958296,4.24620526842773|-2.8906544554047287,0.433738031424582,0.013344052713364363,-4.400690067559481,1.9280618824996054,0.6417420273646712,0.5541506200097501,-2.7930099423974752|28.801108915243315,-14.89655299419891,-10.89180703564878,10.049618373250983,23.037230995643885,-12.580416393595172,-19.330304975914203,3.4312832961812614
-0.8721570367924869,3.8654935406520963,1.5586442197673023,-1.9556228443980217,-2.2634510486386716,1.5160180954262614,-0.0012270011939108372,-4.523085067048669|4.079975497443229,0.6550904223695397,-2.061695132870227,0.3354325331747532,4.027337136212736,-3.434575111605227,4.246084333863109,3.973639653995633|10.485916465515949,36.25065497226586,41.899921738915126,-50.905019010319506,-11.113016618443254,2.4091754316674123,4.09121822198869,-5.663646114326763
-3.679264939855784,-1.5248371986672282,-4.872351281810552,1.5267935395240784,-3.1676407321356237,1.4054065896198153,-2.9310462647117674,3.090287847444415|1.0931750875897706,4.609550856985152,3.2859584572725,2.036913391202688,-0.06315592443570495,4.573160312138498,2.2738196491263807,-2.8084592428058386|-21.054661798361526,-4.546247253785557,-9.986927277835115,3.7247423101700727,-20.136299756334985,-14.988226316910652,13.554024033587783,7.848579666451647
0.60262928949669,-1.956855426542461,4.5494454796426,3.081974796950817,3.1410349369980395,-1.9450201513245702,1.1811586073599756,-0.015269005671143532|-0.5340696009807289,3.426727489568293,-4.80078135849908,2.9844837076961994,-0.10309137171134353,-0.3114005783572793,4.480953977908939,-3.2340637128800154|-44.33804518428213,-20.19649292209563,-29.625629276116047,-7.851727285284585,41.603975772754865,15.214313160680728,18.111066789104832,-5.526131189531937
